Transaction_ID,Book_Title,Author,Genre,ISBN,Publisher,Publication_Year,Language,Pages,Available_Copies,Total_Copies,User_ID,User_Name,Borrowing_Duration_Days,Date,Status
1,Introduction to Algorithms,Thomas H. Cormen,Database,9780601973541,OReilly,2016,English,928,6,5,M777,Member_47,2025-01-28,2025-02-12,Returned
2,Data Science Handbook,Andrew Ng,Database,9780783638886,Pearson,2019,English,1146,8,10,M507,Member_473,2025-02-20,2025-03-07,Issued
3,Python Programming,Wayne Winston,Algorithms,9780491257108,MIT Press,2015,English,1036,8,5,M678,Member_391,2025-01-10,2025-01-25,Returned
4,Web Development with Django,Andrew Ng,Data Science,9780913724358,Wiley,2019,English,330,3,5,M444,Member_267,2025-01-30,2025-02-14,Returned
5,Python Programming,Andrew Ng,AI,9780687439597,Pearson,2021,English,341,1,5,M823,Member_374,2025-01-13,2025-01-28,Issued
6,Machine Learning Guide,William Vincent,Web,9780154139363,Pearson,2020,English,471,5,7,M431,Member_367,2025-02-02,2025-02-17,Issued
7,Python Programming,Jake VanderPlas,AI,9780618786729,Wiley,2019,English,918,10,6,M757,Member_163,2025-01-16,2025-01-31,Issued
8,Machine Learning Guide,Ian Goodfellow,Algorithms,9780714773171,OReilly,2017,English,1118,9,11,M701,Member_163,2025-02-16,2025-03-03,Issued
9,Machine Learning Guide,Thomas H. Cormen,Data Science,9780396011526,MIT Press,2017,English,843,2,6,M575,Member_277,2025-03-02,2025-03-17,Returned
10,Introduction to Algorithms,John Smith,Programming,9780496512819,Pearson,2017,English,1078,3,15,M657,Member_310,2025-01-21,2025-02-05,Returned
11,Operating System Concepts,John Smith,Algorithms,9780427128169,MIT Press,2021,English,263,7,8,M771,Member_181,2025-02-19,2025-03-06,Issued
12,Artificial Intelligence Basics,Andrew Ng,Web,9780115334630,Wiley,2021,English,957,1,11,M386,Member_411,2025-01-31,2025-02-15,Returned
13,SQL for Beginners,Stuart Russell,Programming,9780622363443,Wiley,2023,English,1113,8,6,M176,Member_317,2025-01-10,2025-01-25,Returned
14,Web Development with Django,Ian Goodfellow,Programming,9780296904135,Microsoft Press,2020,English,815,9,7,M185,Member_68,2025-02-12,2025-02-27,Issued
15,Introduction to Algorithms,Thomas H. Cormen,Programming,9780928115994,OReilly,2015,English,209,5,8,M154,Member_58,2025-01-29,2025-02-13,Returned
16,Web Development with Django,Alan Beaulieu,Database,9780588236162,Microsoft Press,2017,English,893,2,5,M529,Member_128,2025-02-06,2025-02-21,Issued
17,Excel for Data Analysis,Ian Goodfellow,Web,9780125045124,Wiley,2015,English,678,6,6,M344,Member_293,2025-02-07,2025-02-22,Returned
18,Introduction to Algorithms,Stuart Russell,Data Science,9780828210898,Pearson,2015,English,369,7,15,M205,Member_484,2025-01-12,2025-01-27,Returned
19,Artificial Intelligence Basics,Andrew Ng,AI,9780860818993,OReilly,2021,English,244,6,13,M867,Member_226,2025-01-03,2025-01-18,Returned
20,Artificial Intelligence Basics,Thomas H. Cormen,Data Science,9780970367834,Pearson,2016,English,774,4,7,M680,Member_309,2025-02-05,2025-02-20,Issued
21,Operating System Concepts,Alan Beaulieu,Algorithms,9780887054398,Pearson,2016,English,1136,5,9,M303,Member_8,2025-01-11,2025-01-26,Returned
22,Data Science Handbook,Thomas H. Cormen,Programming,9780769784688,Pearson,2021,English,579,5,10,M426,Member_215,2025-01-21,2025-02-05,Returned
23,Introduction to Algorithms,Andrew Ng,Programming,9780720781965,MIT Press,2017,English,284,5,11,M115,Member_461,2025-02-05,2025-02-20,Issued
24,Excel for Data Analysis,Jake VanderPlas,Algorithms,9780128117129,MIT Press,2015,English,940,2,9,M796,Member_222,2025-01-07,2025-01-22,Returned
25,Deep Learning Basics,Jake VanderPlas,Programming,9780323834688,Pearson,2023,English,871,2,13,M817,Member_115,2025-01-17,2025-02-01,Issued
26,Artificial Intelligence Basics,Wayne Winston,AI,9780330637469,Microsoft Press,2023,English,1143,2,14,M126,Member_352,2025-01-05,2025-01-20,Returned
27,Excel for Data Analysis,Ian Goodfellow,Database,9780845347054,Microsoft Press,2018,English,936,5,12,M416,Member_335,2025-01-27,2025-02-11,Returned
28,Excel for Data Analysis,John Smith,Data Science,9780296525079,OReilly,2023,English,1099,8,7,M858,Member_105,2025-02-21,2025-03-08,Returned
29,SQL for Beginners,Alan Beaulieu,Algorithms,9780922177025,Pearson,2019,English,435,7,8,M202,Member_1,2025-01-31,2025-02-15,Issued
30,Data Science Handbook,Wayne Winston,Data Science,9780667599023,MIT Press,2021,English,908,2,15,M279,Member_448,2025-01-09,2025-01-24,Returned
31,Introduction to Algorithms,Abraham Silberschatz,Data Science,9780898997022,Wiley,2023,English,1023,9,10,M875,Member_4,2025-01-05,2025-01-20,Returned
32,Web Development with Django,Ian Goodfellow,Web,9780244940037,MIT Press,2022,English,860,0,15,M580,Member_18,2025-02-15,2025-03-02,Returned
33,Artificial Intelligence Basics,Andrew Ng,Database,9780671982628,OReilly,2022,English,259,7,15,M353,Member_80,2025-02-25,2025-03-12,Issued
